Zzzzz,#genre#
TVB 翡翠,https://pulljd-live.baijiayun.com/live/82511ae70435262e3f4646afc45ff2d2.m3u8
J2,https://pulljd-live.baijiayun.com/live/c31178e54a89468233b25a320567d90ac12.m3u8
凤凰卫视，http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221225948/1.m3u8
珠江频道,http://nclive.grtn.cn/zjpd/sd/live.m3u8
嘉佳卡通,http://nclive.grtn.cn/jjkt/sd/live.m3u8
广东体育,http://nclive.grtn.cn/typd/sd/live.m3u8,http://cdn12.switchium.com/gdty.m3u8
广东新闻,http://nclive.grtn.cn/xwpd/sd/live.m3u8
广东公共,http://nclive.grtn.cn/ggpd/sd/live.m3u8
广东国际,http://nclive.grtn.cn/gjpd/sd/live.m3u8
广东会展,http://nclive.grtn.cn/qchzpd/sd/live.m3u8
广东房产,http://nclive.grtn.cn/fcpd/sd/live.m3u8
广东科教,http://nclive.grtn.cn/tvs1hd/hd/live.m3u8
广东综艺4K,http://nclive.grtn.cn/4K/sd/live.m3u8
广东影视,http://nclive.grtn.cn/tvs4/sd/live.m3u8
广东少儿,http://nclive.grtn.cn/tvs5/sd/live.m3u8
广州综合,https://aplay.gztv.com/sec/zhonghe.m3u8
广州新闻,https://aplay.gztv.com/sec/xinwen.m3u8
广州影视,https://aplay.gztv.com/sec/yingshi.m3u8
广州经济,https://aplay.gztv.com/sec/jingji.m3u8
广州少儿,https://aplay.gztv.com/sec/shaoer.m3u8
广州竞赛,https://aplay.gztv.com/sec/jingsai.m3u8
广州生活,https://aplay.gztv.com/sec/shenghuo.m3u8
